taxon	mode	query	
SARS_CoV_2	accession	NC_045512.2
Influenza_A	accession	NC_026431.1 NC_026432.1 NC_026433.1 NC_026434.1 NC_026435.1 NC_026436.1 NC_026437.1 NC_026438.1	
Influenza_B	taxon	Influenza B virus	
Influenza_C	taxon	Influenza C virus	
RSV	accession	NC_038235.1 NC_001781.1
HMPV	accession	NC_039199.1	
Parainfluenza	accession	NC_003461.1 NC_003443.1 NC_001796.2 NC_021928.1	
Rhinovirus_A	taxon	rhinovirus A	
Rhinovirus_B	taxon	rhinovirus B	
Rhinovirus_C	accession	NC_009996.1	
HCoV_229E	accession	NC_002645.1	
HCoV_HKU1	accession	NC_006577.2	
HCoV_NL63	accession	NC_005831.2	
HCoV_OC43	accession	NC_006213.1	

